Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
Ar,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hluti,A_hluti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of SumOfGildi,,,Sveitarfelag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yfirlit,Flokkur_1,Tegund,0000 Reykjavíkurborg,1000 Kópavogsbær,1100 Seltjarnarnesbær,1300 Garðabær,1400 Hafnarfjarðarkaupstaður,1604 Mosfellsbær,1606 Kjósarhreppur,2000 Reykjanesbær,2300 Grindavíkurbær,2506 Sveitarfélagið Vogar,2510 Suðurnesjabær,3000 Akraneskaupstaður,3506 Skorradalshreppur,3511 Hvalfjarðarsveit,3609 Borgarbyggð,3709 Grundarfjarðarbær,3713 Eyja- og Miklaholtshreppur,3714 Snæfellsbær,3716 Sveitarfélagið Stykkishólmur,3811 Dalabyggð,4100 Bolungarvíkurkaupstaður,4200 Ísafjarðarbær,4502 Reykhólahreppur,4604 Vesturbyggð,4803 Súðavíkurhreppur,4901 Árneshreppur,4902 Kaldrananeshreppur,4911 Strandabyggð,5508 Húnaþing vestra,5609 Sveitarfélagið Skagaströnd,5613 Húnabyggð,5716 Skagafjörður,6000 Akureyrarbær,6100 Norðurþing,6250 Fjallabyggð,6400 Dalvíkurbyggð,6513 Eyjafjarðarsveit,6515 Hörgársveit,6601 Svalbarðsstrandarhreppur,6602 Grýtubakkahreppur,6611 Tjörneshreppur,6613 Þingeyjarsveit,6710 Langanesbyggð,7300 Fjarðabyggð,7400 Múlaþing,7502 Vopnafjarðarhreppur,7505 Fljótsdalshreppur,8000 Vestmannaeyjabær,8200 Sveitarfélagið Árborg,8401 Sveitarfélagið Hornafjörður,8508 Mýrdalshreppur,8509 Skaftárhreppur,8610 Ásahreppur,8613 Rangárþing eystra,8614 Rangárþing ytra,8710 Hrunamannahreppur,8716 Hveragerðisbær,8717 Sveitarfélagið Ölfus,8719 Grímsnes- og Grafningshreppur,8720 Skeiða- og Gnúpverjahreppur,8721 Bláskógabyggð,8722 Flóahreppur,Grand Total
Rekstrarreikningur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tekjur,,194450680,53085116,6382131,28424693,43664962,20377316,453936,27835559,4387464,2323657,6743898,11477143,176823,1561913,6555829,1541254,229210,3185593,2305248,1139542,1705100,6764120,790036,2455121,427340,95284,223427,855147,2047142,776398,2617804,8076983,30252063,5718683,3627318,3238814,1782878,1326747,783702,669365,81942,2571087,1350584,8753596,9050950,1124074,335168,6257244,20538671,3980658,1447102,1179685,654624,3455372,3639893,1641707,5416655,5380130,1766545,1391162,2679972,1284506,574516766
,Gjöld,,185852356,46588734,6669213,25721756,41589845,18395874,356410,25839589,4015232,2083903,6269248,11623433,138616,1329444,6241048,1405107,234811,2923743,2213860,1128315,1682687,6031401,779729,2243760,348021,71794,195402,855513,1908892,850276,2418206,7443286,28528762,5467736,3528106,3120822,1582812,1210146,667549,643226,40032,2366312,1065690,8108580,8638113,1262388,276521,6084198,17067833,3497700,1207981,1194534,502360,2952200,3211625,1487604,4825444,4075299,1575296,1230266,2497894,1127597,534494130
,Fjármagnsliðir,,-3852597,-2308122,-176519,-2144029,-1957866,-1287296,4308,-882777,124527,-104597,-152113,220074,-1864,141626,4659,-92599,6478,-22628,-153386,-8881,-62595,-246186,11422,-171502,11376,2685,8190,-44825,4883,4331,-126606,-418350,-889524,-18736,49462,45575,34403,-58387,12625,-5443,7722,-45145,-44603,-422058,-598093,-6683,15098,109109,-1725613,-9214,26024,-17357,10946,-93627,-89401,-41415,-372191,-37580,-2386,13875,-75679,15280,-17883795
,Óreglulegir liðir,,0,0,0,0,0,0,0,0,-174707,0,0,0,0,0,0,0,0,0,0,0,0,0,-3320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3671,0,0,195824,456155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470281
