age,gender,employed
15,male,1780
15,male,1947
16,male,1947
17,male,1947
18,male,1947
19,male,1947
20,male,2340
21,male,2340
22,male,2340
23,male,2340
24,male,2340
25,male,2706
26,male,2706
27,male,2706
28,male,2706
29,male,2706
30,male,3023
31,male,3023
32,male,3023
33,male,3023
34,male,3023
35,male,2616
36,male,2616
37,male,2616
38,male,2616
39,male,2616
40,male,2493
41,male,2493
42,male,2493
43,male,2493
44,male,2493
45,male,2197
46,male,2197
47,male,2197
48,male,2197
49,male,2197
50,male,2048
51,male,2048
52,male,2048
53,male,2048
54,male,2048
55,male,1827
56,male,1827
57,male,1827
58,male,1827
59,male,1827
60,male,1671
61,male,1671
62,male,1671
63,male,1671
64,male,1671
65,male,1076
66,male,1076
67,male,1076
68,male,1076
69,male,1076
70,male,3056
16,male,2039
17,male,2039
18,male,2039
19,male,2039
20,male,2039
21,male,2039
22,male,2039
23,male,2039
24,male,2039
25,male,2039
26,male,2039
27,male,2039
28,male,2039
29,male,2039
30,male,2039
31,male,2039
32,male,2039
33,male,2039
34,male,2039
35,male,2039
36,male,2039
37,male,2039
38,male,2039
39,male,2039
40,male,2039
41,male,2039
42,male,2039
43,male,2039
44,male,2039
45,male,2039
46,male,2039
47,male,2039
48,male,2039
49,male,2039
50,male,2039
51,male,2039
52,male,2039
53,male,2039
54,male,2039
55,male,2039
56,male,2039
57,male,2039
58,male,2039
59,male,2039
60,male,2039
61,male,2039
62,male,2039
63,male,2039
64,male,2039
65,male,2039
66,male,2039
67,male,2039
68,male,2039
69,male,2039
70,male,2039
71,male,2039
72,male,2039
73,male,2039
74,male,2039
16,male,2226
17,male,2226
18,male,2226
19,male,2226
20,male,2226
21,male,2226
22,male,2226
23,male,2226
24,male,2226
25,male,2514
26,male,2514
27,male,2514
28,male,2514
29,male,2514
30,male,2514
31,male,2514
32,male,2514
33,male,2514
34,male,2514
35,male,2514
36,male,2514
37,male,2514
38,male,2514
39,male,2514
40,male,2514
41,male,2514
42,male,2514
43,male,2514
44,male,2514
45,male,2514
46,male,2514
47,male,2514
48,male,2514
49,male,2514
50,male,2514
51,male,2514
52,male,2514
