Laun,Alls,IndustrialWorkers,Professionals,OfficeStaff,Managers,Technicians,Laborers,ServiceCare,min_income,max_income
0-450000,0.01042812335,0.0,0.0038422420600000002,0.00341167551,0.0,0.00082667401,0.011899019129999999,0.038403288619999996,0,450000
450000-500000,0.02635545236,0.00144300144,0.01022714431,0.03752843063,0.0,0.00950675117,0.04582730341999999,0.07118130679,450000,500000
500000-550000,0.04875962361,0.00072150072,0.00694993785,0.06785443518,0.0,0.02810691651,0.08731307283999999,0.14539160539999998,500000,550000
550000-600000,0.05623446984,0.008658008659999999,0.01452141485,0.10614101590000001,0.00152008686,0.04105814274,0.1041968162,0.13576373860000002,550000,600000
600000-650000,0.06362784635,0.01443001443,0.02955136174,0.12926459440000002,0.00803474484,0.05814273905,0.1130406818,0.1163998269,600000,650000
650000-700000,0.06827162003,0.02886002886,0.04441179794,0.1516300227,0.00825190011,0.07068062827,0.1032320309,0.1006057984,650000,700000
700000-750000,0.07835349709,0.05627705628,0.07362413831999999,0.1379833207,0.01672095548,0.09162303664999999,0.0929409873,0.08405452185,700000,750000
750000-800000,0.0842396839,0.07070707071,0.10204542890000001,0.10007581500000001,0.024755700329999998,0.0888674566,0.08859945329,0.0706404154,750000,800000
800000-850000,0.07711108395,0.07287157287,0.09910724375999999,0.08415466262,0.03148751357,0.08225406448,0.07187650748,0.055928169619999996,800000,850000
860000-900000,0.06920852173,0.06782106782,0.08989716352,0.057619408639999994,0.03865363735,0.07880958942,0.06383662968,0.044785807010000005,860000,900000
900000-950000,0.05780276182,0.07287157287,0.08012204769,0.03297952995,0.04364820847,0.06158721411,0.0466312912,0.03158805712,900000,950000
950000-1000000,0.0506130596,0.06998556999,0.06401853317,0.02918877938,0.04972855592,0.05938275007,0.04325454253,0.026395499779999998,950000,1000000
1000000-1050000,0.045134221349999996,0.07215007215,0.06108034806,0.024260803640000002,0.056243213900000005,0.04849820887,0.030712333169999998,0.01784941584,1000000,1050000
1050000-1100000,0.035581897429999995,0.07070707071,0.04977963612,0.01175132676,0.04234527687,0.0389914577,0.02122527738,0.01352228473,1050000,1100000
1100000-1150000,0.031304737459999996,0.04256854257,0.04390326591,0.007202426079999999,0.04386536374,0.03554698264,0.01833092137,0.01125054089,1100000,1150000
1150000-1200000,0.02737382378,0.04112554113,0.0404000452,0.00644427597,0.0460369164,0.02287131441,0.015436565360000001,0.00843790567,1150000,1200000
1200000-1250000,0.02266894782,0.03896103896,0.03062492937,0.00303260045,0.047122692730000006,0.02176908239,0.0094870558,0.007788836,1200000,1250000
1250000-1300000,0.019613833560000002,0.03896103896,0.0246920556,0.00227445034,0.04972855592,0.01997795536,0.0069142948999999995,0.00530073561,1250000,1300000
1300000-1350000,0.015784757019999998,0.03174603175,0.02000226014,0.00151630023,0.03648208469,0.01873794434,0.00578871201,0.00356988317,1300000,1350000
1350000-1400000,0.01505152959,0.02525252525,0.01983274946,0.00151630023,0.045168295330000004,0.012537889230000002,0.00450233156,0.00237992211,1350000,1400000
1400000-1450000,0.01059106277,0.02380952381,0.01339134365,0.00075815011,0.03083604777,0.008404519150000001,0.00369834379,0.00237992211,1400000,1450000
1450000-1500000,0.009104240500000001,0.03607503608,0.011074697710000001,0.00037907506,0.02736156352,0.00523560209,0.00209036823,0.00237992211,1450000,1500000
1500000-1550000,0.00806550165,0.02164502165,0.009379590909999999,0.00075815011,0.02866449511,0.00675117112,0.00128638045,0.00086542622,1500000,1550000
1550000-1600000,0.0068434559500000006,0.027417027420000004,0.0061588880099999995,0.00037907506,0.02909880565,0.0046844860799999995,0.0019295706700000002,0.00075724794,1550000,1600000
1600000-10000000,0.06185588008,0.06493506494,0.05136173579,0.00189537528,0.2942453855,0.08514742353,0.00578871201,0.00237992211,1600000,10000000
