age,population
0,4318
1,4429
2,4957
3,4643
4,4625
5,4386
6,4354
7,4337
8,4475
9,4683
10,4662
11,4913
12,4857
13,5177
14,5229
15,5076
16,4877
17,4789
18,4764
19,4917
20,4857
21,4867
22,4922
23,5274
24,5230
25,5517
26,5674
27,5940
28,5884
29,6242
30,6436
31,6333
32,6194
33,6399
34,6055
35,5967
36,5549
37,5214
38,5264
39,5324
40,5366
41,5358
42,5230
43,5404
44,5285
45,4860
46,4661
47,4870
48,4814
49,4623
50,4943
51,4913
52,4450
53,4202
54,4296
55,4207
56,4285
57,4521
58,4427
59,4416
60,4406
61,4309
62,4068
63,4244
64,4194
65,3983
66,3941
67,3801
68,3672
69,3473
70,3431
71,3162
72,3060
73,3016
74,2845
75,2717
76,2512
77,2289
78,2182
79,1960
80,1770
81,1625
82,1373
83,1232
84,1119
85,962
86,930
87,855
88,702
89,630
90,549
91,434
92,399
93,364
94,245
95,178
96,125
97,97
98,50
99,41
100,17
101,15
102,1
103,3
104,2
105,1
106,1
107,0
108,0
109,0
110,0
