Eining,Age,árstekjur
Meðaltal - allir,16-19,162166.66666666666
Meðaltal - allir,20-24,392750.0
Meðaltal - allir,25-29,549916.6666666666
Meðaltal - allir,30-34,654250.0
Meðaltal - allir,35-39,745416.6666666666
Meðaltal - allir,40-44,852583.3333333334
Meðaltal - allir,45-49,901416.6666666666
Meðaltal - allir,50-54,940666.6666666666
Meðaltal - allir,55-59,909333.3333333334
Meðaltal - allir,60-64,892166.6666666666
Meðaltal - allir,65-69,816750.0
Meðaltal - allir,70-74,657750.0
Meðaltal - allir,75-79,567333.3333333334
Meðaltal - allir,80-84,555750.0
Miðgildi - allir,16-19,134083.33333333334
Miðgildi - allir,20-24,366750.0
Miðgildi - allir,25-29,527583.3333333334
Miðgildi - allir,30-34,620666.6666666666
Miðgildi - allir,35-39,685833.3333333334
Miðgildi - allir,40-44,747333.3333333334
Miðgildi - allir,45-49,773000.0
Miðgildi - allir,50-54,766000.0
Miðgildi - allir,55-59,717833.3333333334
Miðgildi - allir,60-64,688916.6666666666
Miðgildi - allir,65-69,603416.6666666666
Miðgildi - allir,70-74,509083.3333333333
Miðgildi - allir,75-79,473666.6666666667
Miðgildi - allir,80-84,457750.0
Fjöldi - allir,16-19,1365333.3333333333
Fjöldi - allir,20-24,1729500.0
Fjöldi - allir,25-29,2003166.6666666667
Fjöldi - allir,30-34,2152500.0
Fjöldi - allir,35-39,1889000.0
Fjöldi - allir,40-44,1894083.3333333333
Fjöldi - allir,45-49,1753666.6666666667
Fjöldi - allir,50-54,1663666.6666666667
Fjöldi - allir,55-59,1714000.0
Fjöldi - allir,60-64,1638583.3333333333
Fjöldi - allir,65-69,1409500.0
Fjöldi - allir,70-74,1124250.0
Fjöldi - allir,75-79,847083.3333333334
Fjöldi - allir,80-84,523666.6666666667
