"Flokkur","2013-2016 Krónur Alls"
"Neysluútgjöld alls",6238999.3
"01 Matur og drykkjarvörur",820060.9
"02 Áfengi og tóbak",162042.8
"03 Föt og skór",241853.9
"04 Húsnæði, hiti og rafmagn",1886211.0
"05 Húsgögn, heimilisbúnaður o.fl.",284728.4
"06 Heilsa",263319.3
"07 Ferðir og flutningar",907447.0
"08 Póstur og sími",201319.8
"09 Tómstundir og menning",693641.7
"10 Menntun",48272.0
"11 Hótel og veitingastaðir",352516.0
"12 Aðrar vörur og þjónusta",377586.5
"Fjöldi í heimili",2.9
"  þ.a. Fullorðnir",1.8
"  þ.a. börn",1.1
