Tekjur og skattar,Eining,Kyn,Aldur,Ár,Gildi
Heildartekjur,Meðaltal,Karlar,16 ára,2023,1885
Heildartekjur,Meðaltal,Karlar,20 ára,2023,4949
Heildartekjur,Meðaltal,Karlar,25 ára,2023,7038
Heildartekjur,Meðaltal,Karlar,30 ára,2023,8229
Heildartekjur,Meðaltal,Karlar,35 ára,2023,9297
Heildartekjur,Meðaltal,Karlar,40 ára,2023,10386
Heildartekjur,Meðaltal,Karlar,45 ára,2023,11177
Heildartekjur,Meðaltal,Karlar,50 ára,2023,11492
Heildartekjur,Meðaltal,Karlar,55 ára,2023,10511
Heildartekjur,Meðaltal,Karlar,60 ára,2023,9375
Heildartekjur,Meðaltal,Karlar,65 ára,2023,6029
Heildartekjur,Meðaltal,Karlar,70 ára,2023,1619
Heildartekjur,Meðaltal,Karlar,75 ára,2023,517
Heildartekjur,Meðaltal,Karlar,80 ára,2023,245
Heildartekjur,Meðaltal,Karlar,85 ára og eldri,2023,100
Heildartekjur,Meðaltal,Konur,16 ára,2023,1902
Heildartekjur,Meðaltal,Konur,20 ára,2023,4184
Heildartekjur,Meðaltal,Konur,25 ára,2023,5555
Heildartekjur,Meðaltal,Konur,30 ára,2023,6438
Heildartekjur,Meðaltal,Konur,35 ára,2023,7131
Heildartekjur,Meðaltal,Konur,40 ára,2023,7984
Heildartekjur,Meðaltal,Konur,45 ára,2023,8281
Heildartekjur,Meðaltal,Konur,50 ára,2023,8125
Heildartekjur,Meðaltal,Konur,55 ára,2023,7386
Heildartekjur,Meðaltal,Konur,60 ára,2023,6308
Heildartekjur,Meðaltal,Konur,65 ára,2023,3390
Heildartekjur,Meðaltal,Konur,70 ára,2023,456
Heildartekjur,Meðaltal,Konur,75 ára,2023,118
Heildartekjur,Meðaltal,Konur,80 ára,2023,41
Heildartekjur,Meðaltal,Konur,85 ára og eldri,2023,24
Heildartekjur,Fjöldi,Karlar,16 ára,2023,8786
Heildartekjur,Fjöldi,Karlar,20 ára,2023,10625
Heildartekjur,Fjöldi,Karlar,25 ára,2023,12271
Heildartekjur,Fjöldi,Karlar,30 ára,2023,13857
Heildartekjur,Fjöldi,Karlar,35 ára,2023,12215
Heildartekjur,Fjöldi,Karlar,40 ára,2023,12018
Heildartekjur,Fjöldi,Karlar,45 ára,2023,10717
Heildartekjur,Fjöldi,Karlar,50 ára,2023,10394
Heildartekjur,Fjöldi,Karlar,55 ára,2023,9973
