"Tekjur og skattar";"Eining";"Kyn";"Aldur";"2022"
"Heildartekjur";"Meðaltal - allir";"Karlar";"16 - 19 ára";1917
"Heildartekjur";"Meðaltal - allir";"Karlar";"20 - 24 ára";5051
"Heildartekjur";"Meðaltal - allir";"Karlar";"25 - 29 ára";7110
"Heildartekjur";"Meðaltal - allir";"Karlar";"30 - 34 ára";8479
"Heildartekjur";"Meðaltal - allir";"Karlar";"35 - 39 ára";9679
"Heildartekjur";"Meðaltal - allir";"Karlar";"40 - 44 ára";11148
"Heildartekjur";"Meðaltal - allir";"Karlar";"45 - 49 ára";11913
"Heildartekjur";"Meðaltal - allir";"Karlar";"50 - 54 ára";12668
"Heildartekjur";"Meðaltal - allir";"Karlar";"55 - 59 ára";12303
"Heildartekjur";"Meðaltal - allir";"Karlar";"60 - 64 ára";12182
"Heildartekjur";"Meðaltal - allir";"Karlar";"65 - 69 ára";11135
"Heildartekjur";"Meðaltal - allir";"Karlar";"70 - 74 ára";8783
"Heildartekjur";"Meðaltal - allir";"Karlar";"75 - 79 ára";7395
"Heildartekjur";"Meðaltal - allir";"Karlar";"80 - 84 ára";7174
"Heildartekjur";"Meðaltal - allir";"Karlar";"85 ára og eldri";6263
"Heildartekjur";"Meðaltal - allir";"Konur";"16 - 19 ára";1977
"Heildartekjur";"Meðaltal - allir";"Konur";"20 - 24 ára";4360
"Heildartekjur";"Meðaltal - allir";"Konur";"25 - 29 ára";6065
"Heildartekjur";"Meðaltal - allir";"Konur";"30 - 34 ára";7169
"Heildartekjur";"Meðaltal - allir";"Konur";"35 - 39 ára";8175
"Heildartekjur";"Meðaltal - allir";"Konur";"40 - 44 ára";9283
"Heildartekjur";"Meðaltal - allir";"Konur";"45 - 49 ára";9695
"Heildartekjur";"Meðaltal - allir";"Konur";"50 - 54 ára";9901
"Heildartekjur";"Meðaltal - allir";"Konur";"55 - 59 ára";9591
"Heildartekjur";"Meðaltal - allir";"Konur";"60 - 64 ára";9253
"Heildartekjur";"Meðaltal - allir";"Konur";"65 - 69 ára";8472
"Heildartekjur";"Meðaltal - allir";"Konur";"70 - 74 ára";7013
"Heildartekjur";"Meðaltal - allir";"Konur";"75 - 79 ára";6253
"Heildartekjur";"Meðaltal - allir";"Konur";"80 - 84 ára";6238
"Heildartekjur";"Meðaltal - allir";"Konur";"85 ára og eldri";5438
"Atvinnutekjur";"Meðaltal - allir";"Karlar";"16 - 19 ára";1719
"Atvinnutekjur";"Meðaltal - allir";"Karlar";"20 - 24 ára";4454
"Atvinnutekjur";"Meðaltal - allir";"Karlar";"25 - 29 ára";6324
"Atvinnutekjur";"Meðaltal - allir";"Karlar";"30 - 34 ára";7564
"Atvinnutekjur";"Meðaltal - allir";"Karlar";"35 - 39 ára";8553
