Ár,Fjöldi fasteigna,Brunabótamat,Fasteignamat
2005,162120,3062852,2920435
2006,165847,3540048,3368909
2007,169896,3876192,3982611
2008,174412,5109695,4167640
2009,175634,5322769,4286980
2010,176558,5413380,3968153
2011,177225,5986305,4278787
2012,197387,6382305,4726947
2013,192751,6675321,4977396
2014,193810,6732042,5407236
2015,195035,7322252,5795689
2016,196787,7573181,6355540
2017,198851,8321106,7345503
2018,201722,9104667,8437949
2019,205555,9994385,9154580
2020,209108,10377058,9557848
2021,213751,11737890,10464029
2022,218830,13930871,12809724
2023,223346,15115243,14600191
2024,227835,16229949,15556987
2025,232049,17538172,15844534
