Laun,Alls,Iðnaðarfólk,Sérfræðingar,Skrifstofufólk,Stjórnendur,Tæknar,Verkafólk,Þjónusta og umönnun
0-450,"1,042812335",0,"0,384224206","0,341167551",0,"0,082667401","1,189901913","3,840328862"
450-500,"2,635545236","0,144300144","1,022714431","3,752843063",0,"0,950675117","4,582730342","7,118130679"
500-550,"4,875962361","0,072150072","0,694993785","6,785443518",0,"2,810691651","8,731307284","14,53916054"
550-600,"5,623446984","0,865800866","1,452141485","10,61410159","0,152008686","4,105814274","10,41968162","13,57637386"
600-650,"6,362784635","1,443001443","2,955136174","12,92645944","0,803474484","5,814273905","11,30406818","11,63998269"
650-700,"6,827162003","2,886002886","4,441179794","15,16300227","0,825190011","7,068062827","10,32320309","10,06057984"
700-750,"7,835349709","5,627705628","7,362413832","13,79833207","1,672095548","9,162303665","9,29409873","8,405452185"
750-800,"8,42396839","7,070707071","10,20454289","10,0075815","2,475570033","8,88674566","8,859945329","7,06404154"
800-850,"7,711108395","7,287157287","9,910724376","8,415466262","3,148751357","8,225406448","7,187650748","5,592816962"
860-900,"6,920852173","6,782106782","8,989716352","5,761940864","3,865363735","7,880958942","6,383662968","4,478580701"
900-950,"5,780276182","7,287157287","8,012204769","3,297952995","4,364820847","6,158721411","4,66312912","3,158805712"
950-1.000,"5,06130596","6,998556999","6,401853317","2,918877938","4,972855592","5,938275007","4,325454253","2,639549978"
1.000-1.050,"4,513422135","7,215007215","6,108034806","2,426080364","5,62432139","4,849820887","3,071233317","1,784941584"
1.050-1.100,"3,558189743","7,070707071","4,977963612","1,175132676","4,234527687","3,89914577","2,122527738","1,352228473"
1.100-1.150,"3,130473746","4,256854257","4,390326591","0,720242608","4,386536374","3,554698264","1,833092137","1,125054089"
1.150-1.200,"2,737382378","4,112554113","4,04000452","0,644427597","4,60369164","2,287131441","1,543656536","0,843790567"
1.200-1.250,"2,266894782","3,896103896","3,062492937","0,303260045","4,712269273","2,176908239","0,94870558","0,7788836"
1.250-1.300,"1,961383356","3,896103896","2,46920556","0,227445034","4,972855592","1,997795536","0,69142949","0,530073561"
1.300-1.350,"1,578475702","3,174603175","2,000226014","0,151630023","3,648208469","1,873794434","0,578871201","0,356988317"
1.350-1.400,"1,505152959","2,525252525","1,983274946","0,151630023","4,516829533","1,253788923","0,450233156","0,237992211"
1.400-1.450,"1,059106277","2,380952381","1,339134365","0,075815011","3,083604777","0,840451915","0,369834379","0,237992211"
1.450-1.500,"0,91042405","3,607503608","1,107469771","0,037907506","2,736156352","0,523560209","0,209036823","0,237992211"
1.500-1.550,"0,806550165","2,164502165","0,937959091","0,075815011","2,866449511","0,675117112","0,128638045","0,086542622"
1.550-1.600,"0,684345595","2,741702742","0,615888801","0,037907506","2,909880565","0,468448608","0,192957067","0,075724794"
1.600-10.000,"6,185588008","6,493506494","5,136173579","0,189537528","29,42453855","8,514742353","0,578871201","0,237992211"
