gender,age,ref_total,ref_wages,ref_cg,ref_other,total_income,wages,capital_gains,other_income,err_total,err_wages,err_cg,err_other,age_bin
Female,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Female,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Female,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Female,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Female,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Female,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Female,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Female,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Female,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Female,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Female,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Female,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Female,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Female,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Female,14,0.0,0.0,0.0,0.0,276315.2156567557,229332.9928490779,25168.791870530673,21813.430937147157,276315.2156567557,229332.9928490779,25168.791870530673,21813.430937147157,"[0, 20)"
Female,15,0.0,0.0,0.0,0.0,637438.4497645212,525676.5282574568,54765.63500784929,56996.28649921507,637438.4497645212,525676.5282574568,54765.63500784929,56996.28649921507,"[0, 20)"
Female,16,2180000.0,1908000.0,126000.0,145000.0,1153237.3677973028,955049.4470780548,88645.47037188394,109542.45034736412,-1026762.6322026972,-952950.5529219452,-37354.529628116055,-35457.54965263588,"[0, 20)"
